name,artist
Bedtime,UNPOP
say anything,girl in red
Bug Like an Angel,Mitski
104 Degrees,"Slaughter Beach, Dog"
Kids 1995,Been Stellar
Dreams,The Cranberries
You're so Great - 2012 Remaster,Blur
"Fine, Great",Modern Baseball
Anthems For A Seventeen Year-Old Girl,Broken Social Scene
The Only Exception,Paramore
Halloween,Phoebe Bridgers
Say It - Spotify Studio Oyster Recording,girl in red
Kissing Lessons,Lucy Dacus
She Plays Bass,beabadoobee
Fireworks,Radiator Hospital
Us,Regina Spektor
Paper Bag,Fiona Apple
Moon Song,Phoebe Bridgers
Apocalypse,Cigarettes After Sex
Why,Dominic Fike
Fireworks (Reprise),Radiator Hospital
Juno,Life Without Buildings
Heirloom,Sufjan Stevens
Dress,Taylor Swift
Paprika,Japanese Breakfast
Cheated Hearts,Yeah Yeah Yeahs
Red Wine Supernova,Chapell Roan
Across the Universe,Fiona Apple
Straight Jacket,Ultra Q
When I Meet You,Hollow Bastion
"Archie, Marry Me",Alvvays
Scott Street,Phoebe Bridgers
Kyoto,Phoebe Bridgers
She Moves In Her Own Way,The Kooks
Riot Grrrl,Daddy Issues
Townie,Mitski
ICU,Phoebe Bridgers
On Melancholy Hill,Gorillaz
Summertime,My Chemical Romance
Waiting Room,Phoebe Bridgers
Fade Into You,Mazzy Star
Say Yes,Elliot Smith
Acolyte,"Slaughter Beach, Dog"
Blue Light,Mazzy Star
12:51,The Strokes
Anyone Else But You,The Moldy Peaches
Cool About It,boygenius
My Kind of Woman,Mac DeMarco
Gnaw,Alex G
Cosmonauts,Fiona Apple
